Chrom	WinStart	WinStop	CMStops	Dark_Inf_Depth	Light_Inf_Depth	EF8N
X	0	156155	0.00156155	4596	3700	0.159114257
X	156156	230892	0.00230892	4031	3063	0.193102497
X	230893	278206	0.00278206	3074	2432.5	0.179103848
X	278207	312613	0.00312613	3448	2879	0.201719439
X	312614	351939	0.00351939	4171	3225	0.234990825
X	351940	387279	0.00387279	7471	5125.5	0.198932847
X	387280	427626	0.00427626	7998	5906.5	0.211713695
X	427627	444874	0.00444874	6032	4475	0.195930064
X	444875	470957	0.00470957	5523.5	3826.5	0.226610271
X	470958	488477	0.00488477	5167	3746	0.179729488
X	488478	509303	0.00509303	4499	3384	0.225239606
X	509304	539112	0.00539112	8339	5610	0.216839153
X	539113	563821	0.00563821	5093.5	3383.5	0.210478759
X	563822	576229	0.00576229	4481	3248	0.201993897
X	576230	593317	0.00593317	3507.5	2609.5	0.239071533
X	593318	605574	0.00605574	1381.5	1109	0.231120127
X	605575	616627	0.00616627	2848	2304.5	0.230342529
X	616628	629611	0.00629611	3067	2293	0.185279902
X	629612	642710	0.0064271	3945	2889	0.180878465
X	642711	659335	0.00659335	5476.5	3715.5	0.197656107
X	659336	670370	0.0067037	4590.5	3426	0.181558514
X	670371	684757	0.00684757	5581	3798	0.196714024
X	684758	704753	0.00704753	8015	5300	0.209287769
X	704754	729839	0.00729839	4356	3054.5	0.21199631
X	729840	737986	0.00737986	3087	2345.5	0.224196139
X	737987	746272	0.00746272	4239.5	3041.5	0.200855213
X	746273	755361	0.00755361	3424	2444	0.215799336
X	755362	766213	0.00766213	5307.5	3841.5	0.197518813
X	766214	776153	0.00776153	4659	3401	0.206148611
X	776154	784079	0.00784079	2304.5	1619.5	0.124066997
X	784080	795563	0.00795563	4749	3367	0.207711645
X	795564	808474	0.00808474	3979	2878	0.205422513
X	808475	817656	0.00817656	2217	1679	0.254963973
X	817657	828932	0.00828932	9345	5341	0.223069516
X	828933	842407	0.00842407	7342	4387	0.24451446
X	842408	852428	0.00852428	3154.5	2340	0.228151764
X	852429	863018	0.00863018	3990.5	3011	0.213918734
X	863019	872522	0.00872522	3897	2802	0.186265933
X	872523	880004	0.00880004	3038.5	2297.5	0.182706994
X	880005	889525	0.00889525	3975	2788	0.177898271
X	889526	898635	0.00898635	3692	2767	0.225806458
X	898636	910500	0.009105	3827.5	2652	0.214018913
