Chr	PeakWinStart	PeakWinStop	PeakHeight	PeakType	PValue	MatchingSims	PropVarMedian	PropVar5th	PropVar95th	LeftBoundPos	RightBoundPos
X	828933	842407	0.22431604288	secondary_cluster	0.0210526315789474	2674	0.191969433527678	0.0828239959869829	0.336200361409012	828933	842407
X	5327073	5331185	0.292958157	secondary_cluster	0	2674	0.184178762594519	0.0245473711542433	0.335155709969766	351940	5331185
X	9007997	9015848	0.42202147772	primary_cluster	0	2674	0.363924840108939	0.169818555304498	0.497108731130335	9007997	9015848
3R	1968188	2011925	0.25243123364	secondary_cluster	0	4534	0.0910801078078309	0.0369292416531431	0.144780618097391	1968188	2011925
3R	7542178	7551783	0.25819890044	secondary_cluster	0	4534	0.0708752131089971	0.0127296792146725	0.125990992850792	7542178	7551783
3R	9605311	9612381	0.2582401822	secondary_cluster	0.0369318181818182	4534	0.0671574636740233	0.011134083152001	0.122789913880446	9605311	9612381
3R	10385621	10389502	0.27936598376	primary_cluster	0	4534	0.0629216195904163	0.00751503681921831	0.125480675465199	6930510	10407178
3R	16903801	16910169	0.51709378756	primary	0	259	0.335395419630934	0.295586728238721	0.372118656530223	16729505	17006062
